% f evaluations | g evaluations | best noise-free fitness - Fopt (-1.000000000000e+03) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
4301 0 +1.192812152e+01 -9.880718785e+02 -9.880718785e+02 +8.0509e-01 -6.0793e-01 +6.8885e-01 +2.6988e+00 +3.5547e+00 -3.9632e-01 -3.1098e-01 +3.0321e+00 +2.4173e+00 +3.0837e-01
4501 0 +1.009990394e+01 -9.899000961e+02 -9.899000961e+02 +6.8795e-01 -5.6122e-01 +3.3710e-01 +2.2399e+00 +3.2720e+00 -7.0176e-01 -3.1320e-02 +2.6743e+00 +2.6468e+00 +4.4620e-01
4601 0 +9.439484367e+00 -9.905605156e+02 -9.905605156e+02 +5.5530e-01 -6.0667e-01 +2.9136e-01 +2.7770e+00 +3.2464e+00 -1.1598e+00 -2.4287e-01 +2.8132e+00 +2.3056e+00 +7.9030e-01
4602 0 +9.272106769e+00 -9.907278932e+02 -9.907278932e+02 +9.4856e-01 -7.5049e-01 +3.6042e-02 +2.4307e+00 +3.8380e+00 -1.1649e+00 +1.4537e-01 +3.2588e+00 +3.3162e+00 +4.3196e-01
4702 0 +8.759055444e+00 -9.912409446e+02 -9.912409446e+02 +5.5450e-01 -4.1300e-01 +2.9122e-01 +2.8346e+00 +3.2592e+00 -1.1909e+00 -2.6456e-01 +2.8265e+00 +2.3329e+00 +8.3398e-01
4901 0 +8.009996345e+00 -9.919900037e+02 -9.919900037e+02 +4.7242e-01 -4.5602e-01 +3.6024e-01 +3.1995e+00 +3.4264e+00 -1.4251e+00 -1.3120e-01 +3.0186e+00 +2.4272e+00 +9.8690e-01
5201 0 +7.510541692e+00 -9.924894583e+02 -9.924894583e+02 +6.3417e-01 -5.2474e-01 +7.0504e-01 +2.8200e+00 +3.5365e+00 -1.2608e+00 +3.4210e-01 +2.8777e+00 +2.4667e+00 +7.5371e-01
5301 0 +7.047084557e+00 -9.929529154e+02 -9.929529154e+02 +4.7986e-01 -5.1448e-01 +6.2400e-01 +2.8636e+00 +3.6872e+00 -1.3378e+00 +4.8257e-01 +2.9036e+00 +2.5400e+00 +8.6805e-01
5501 0 +6.716665051e+00 -9.932833349e+02 -9.932833349e+02 +4.9998e-01 -5.3625e-01 +6.6100e-01 +3.0839e+00 +3.9488e+00 -1.5568e+00 +6.5268e-01 +3.1103e+00 +2.7048e+00 +9.6340e-01
5901 0 +5.861185199e+00 -9.941388148e+02 -9.941388148e+02 +5.2996e-01 -3.7317e-01 +5.0497e-01 +3.7615e+00 +3.6541e+00 -1.5524e+00 +6.9161e-01 +3.1971e+00 +2.6622e+00 +1.2614e+00
6708 0 +5.703787580e+00 -9.942962124e+02 -9.942962124e+02 +8.3864e-01 -4.6000e-01 +5.5600e-01 +3.6886e+00 +3.5229e+00 -1.2422e+00 +6.2214e-01 +3.2514e+00 +2.7032e+00 +7.3828e-01
