% f evaluations | g evaluations | best noise-free fitness - Fopt (-9.210000000000e+00) + sum g_i+ | measured fitness | best measured fitness or single-digit g-values | x1 | x2...
601 0 +1.021621502e+01 -2.723378498e+01 -2.723378498e+01 +5.0000e+00 -3.3133e-01 +5.0000e+00 -4.8692e+00 -5.0000e+00
801 0 +9.988363022e+00 -2.746163698e+01 -2.746163698e+01 +5.0000e+00 -3.0924e-01 +5.0000e+00 -5.0000e+00 -4.9453e+00
1102 0 +7.715915873e+00 -2.973408413e+01 -2.973408413e+01 +5.0000e+00 +8.6614e-01 +4.8947e+00 -4.9944e+00 -5.0000e+00
1201 0 +5.638117675e+00 -3.181188232e+01 -3.181188232e+01 +4.9780e+00 +1.8418e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00
1501 0 +5.111816291e+00 -3.233818371e+01 -3.233818371e+01 +5.0000e+00 +2.9547e+00 +5.0000e+00 -4.9378e+00 -4.8875e+00
1601 0 +4.883221367e+00 -3.256677863e+01 -3.256677863e+01 +4.7260e+00 +3.1600e+00 +4.7887e+00 -4.9990e+00 -4.9337e+00
1701 0 +2.911458910e+00 -3.453854109e+01 -3.453854109e+01 +5.0000e+00 +4.2185e+00 +5.0000e+00 -4.9672e+00 -4.8663e+00
1801 0 +2.335911993e+00 -3.511408801e+01 -3.511408801e+01 +4.8924e+00 +5.0000e+00 +5.0000e+00 -4.9798e+00 -4.7885e+00
1901 0 +8.162997583e-01 -3.663370024e+01 -3.663370024e+01 +5.0000e+00 +5.0000e+00 +4.8483e+00 -4.9401e+00 -5.0000e+00
2001 0 +7.657184865e-01 -3.668428151e+01 -3.668428151e+01 +4.9907e+00 +4.8840e+00 +4.8650e+00 -5.0000e+00 -4.9877e+00
2101 0 +6.735940981e-01 -3.677640590e+01 -3.677640590e+01 +5.0000e+00 +5.0000e+00 +4.8164e+00 -4.9835e+00 -5.0000e+00
2201 0 +5.826755892e-01 -3.686732441e+01 -3.686732441e+01 +5.0000e+00 +5.0000e+00 +4.8481e+00 -4.9818e+00 -5.0000e+00
2301 0 +2.284005560e-01 -3.722159944e+01 -3.722159944e+01 +4.8598e+00 +4.9916e+00 +5.0000e+00 -4.9870e+00 -5.0000e+00
2801 0 +7.565616578e-02 -3.737434383e+01 -3.737434383e+01 +5.0000e+00 +5.0000e+00 +4.9761e+00 -5.0000e+00 -5.0000e+00
2904 0 +5.520022619e-02 -3.739479977e+01 -3.739479977e+01 +4.9519e+00 +4.9960e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00
3104 0 +2.860380949e-02 -3.742139619e+01 -3.742139619e+01 +4.9907e+00 +4.9892e+00 +5.0000e+00 -5.0000e+00 -5.0000e+00
